DateTime,Station,DayOfWeek,Hour,IsHoliday,Weather,TicketsBooked
2024-01-02 09:00:00,Tarnaka,Tuesday,9,0,Rainy,390
2024-01-02 10:00:00,Hyderabad Central,Tuesday,10,0,Clear,410
2024-01-02 11:00:00,Uppal,Tuesday,11,1,Clear,340
2024-01-02 12:00:00,Tarnaka,Tuesday,12,0,Clear,570
2024-01-02 13:00:00,Hyderabad Central,Tuesday,13,0,Clear,550
2024-01-02 14:00:00,Kukatpally,Tuesday,14,0,Clear,410
2024-01-02 15:00:00,Hitec City,Tuesday,15,0,Clear,520
2024-01-02 16:00:00,Dilsukhnagar,Tuesday,16,0,Clear,590
2024-01-02 17:00:00,Uppal,Tuesday,17,0,Cloudy,610
2024-01-02 18:00:00,Ameerpet,Tuesday,18,0,Clear,630
2024-01-02 19:00:00,LB Nagar,Tuesday,19,0,Rainy,600
2024-01-02 20:00:00,Uppal,Tuesday,20,0,Clear,560
2024-01-02 21:00:00,Tarnaka,Tuesday,21,0,Cloudy,400
2024-01-02 22:00:00,Tarnaka,Tuesday,22,0,Cloudy,470
2024-01-02 23:00:00,Hyderabad Central,Tuesday,23,0,Rainy,480
2024-01-03 00:00:00,Secunderabad East,Wednesday,0,0,Clear,480
2024-01-03 01:00:00,Dilsukhnagar,Wednesday,1,0,Clear,400
2024-01-03 02:00:00,Dilsukhnagar,Wednesday,2,0,Clear,560
2024-01-03 03:00:00,Dilsukhnagar,Wednesday,3,0,Clear,590
2024-01-03 04:00:00,Dilsukhnagar,Wednesday,4,0,Clear,560
2024-01-03 05:00:00,Hitec City,Wednesday,5,0,Clear,460
2024-01-03 06:00:00,Ameerpet,Wednesday,6,0,Cloudy,520
2024-01-03 07:00:00,Uppal,Wednesday,7,1,Clear,410
2024-01-03 08:00:00,Tarnaka,Wednesday,8,0,Clear,510
2024-01-03 09:00:00,Hitec City,Wednesday,9,0,Clear,540
2024-01-03 10:00:00,Hitec City,Wednesday,10,0,Clear,440
2024-01-03 11:00:00,Ameerpet,Wednesday,11,0,Clear,480
2024-01-03 12:00:00,Miyapur,Wednesday,12,0,Clear,540
2024-01-03 13:00:00,Uppal,Wednesday,13,0,Rainy,450
2024-01-03 14:00:00,Secunderabad East,Wednesday,14,0,Cloudy,570
2024-01-03 15:00:00,Secunderabad East,Wednesday,15,0,Clear,580
2024-01-03 16:00:00,Secunderabad East,Wednesday,16,0,Cloudy,450
2024-01-03 17:00:00,LB Nagar,Wednesday,17,0,Rainy,580
2024-01-03 18:00:00,Hyderabad Central,Wednesday,18,0,Clear,680
2024-01-03 19:00:00,Secunderabad East,Wednesday,19,0,Clear,700
2024-01-03 20:00:00,Uppal,Wednesday,20,0,Rainy,430
2024-01-03 21:00:00,Miyapur,Wednesday,21,0,Clear,570
2024-01-03 22:00:00,Ameerpet,Wednesday,22,0,Rainy,470
2024-01-03 23:00:00,Tarnaka,Wednesday,23,0,Clear,420
2024-01-04 00:00:00,Dilsukhnagar,Thursday,0,0,Clear,530
2024-01-04 01:00:00,Dilsukhnagar,Thursday,1,0,Clear,570
2024-01-04 02:00:00,LB Nagar,Thursday,2,0,Rainy,480
2024-01-04 03:00:00,Hitec City,Thursday,3,0,Clear,420
2024-01-04 04:00:00,Hyderabad Central,Thursday,4,0,Rainy,360
2024-01-04 05:00:00,Dilsukhnagar,Thursday,5,1,Clear,220
2024-01-04 06:00:00,LB Nagar,Thursday,6,0,Cloudy,550
2024-01-04 07:00:00,Miyapur,Thursday,7,1,Clear,370
2024-01-04 08:00:00,Uppal,Thursday,8,0,Rainy,530
2024-01-04 09:00:00,Uppal,Thursday,9,0,Rainy,570
2024-01-04 10:00:00,Ameerpet,Thursday,10,0,Clear,440
2024-01-04 11:00:00,Tarnaka,Thursday,11,0,Clear,500
2024-01-04 12:00:00,Secunderabad East,Thursday,12,0,Clear,520
2024-01-04 13:00:00,Hyderabad Central,Thursday,13,0,Clear,510
2024-01-04 14:00:00,Secunderabad East,Thursday,14,0,Clear,550
2024-01-04 15:00:00,Hitec City,Thursday,15,0,Rainy,440
2024-01-04 16:00:00,Tarnaka,Thursday,16,0,Clear,460
2024-01-04 17:00:00,Kukatpally,Thursday,17,0,Clear,590
2024-01-04 18:00:00,Ameerpet,Thursday,18,0,Clear,670
2024-01-04 19:00:00,Uppal,Thursday,19,0,Clear,690
2024-01-04 20:00:00,Hyderabad Central,Thursday,20,0,Clear,630
2024-01-04 21:00:00,Uppal,Thursday,21,0,Clear,560
2024-01-04 22:00:00,Dilsukhnagar,Thursday,22,0,Rainy,330
2024-01-04 23:00:00,Hitec City,Thursday,23,0,Clear,530
2024-01-05 00:00:00,LB Nagar,Friday,0,0,Clear,490
2024-01-05 01:00:00,Hitec City,Friday,1,0,Clear,440
2024-01-05 02:00:00,Dilsukhnagar,Friday,2,0,Clear,510
2024-01-05 03:00:00,Ameerpet,Friday,3,0,Clear,520
2024-01-05 04:00:00,Uppal,Friday,4,0,Rainy,330
2024-01-05 05:00:00,Miyapur,Friday,5,0,Clear,520
2024-01-05 06:00:00,Ameerpet,Friday,6,0,Clear,540
2024-01-05 07:00:00,Tarnaka,Friday,7,0,Clear,500
2024-01-05 08:00:00,LB Nagar,Friday,8,0,Clear,530
2024-01-05 09:00:00,Uppal,Friday,9,0,Clear,500
2024-01-05 10:00:00,Dilsukhnagar,Friday,10,0,Clear,570
2024-01-05 11:00:00,Hitec City,Friday,11,0,Clear,520
2024-01-05 12:00:00,Miyapur,Friday,12,0,Clear,540
2024-01-05 13:00:00,LB Nagar,Friday,13,0,Rainy,380
2024-01-05 14:00:00,Miyapur,Friday,14,0,Clear,480
2024-01-05 15:00:00,Dilsukhnagar,Friday,15,0,Clear,490
2024-01-05 16:00:00,Miyapur,Friday,16,0,Rainy,320
2024-01-05 17:00:00,Secunderabad East,Friday,17,0,Clear,580
2024-01-05 18:00:00,Hyderabad Central,Friday,18,0,Clear,590
2024-01-05 19:00:00,Hyderabad Central,Friday,19,0,Clear,660
2024-01-05 20:00:00,Secunderabad East,Friday,20,0,Rainy,470
2024-01-05 21:00:00,Miyapur,Friday,21,0,Clear,450
2024-01-05 22:00:00,Secunderabad East,Friday,22,0,Clear,470
2024-01-05 23:00:00,Hitec City,Friday,23,1,Clear,380
2024-01-06 00:00:00,Ameerpet,Saturday,0,0,Clear,590
2024-01-06 01:00:00,Miyapur,Saturday,1,0,Rainy,490
2024-01-06 02:00:00,Miyapur,Saturday,2,0,Rainy,400
2024-01-06 03:00:00,Hyderabad Central,Saturday,3,0,Clear,500
2024-01-06 04:00:00,Dilsukhnagar,Saturday,4,0,Clear,540
2024-01-06 05:00:00,Hitec City,Saturday,5,0,Rainy,330
2024-01-06 06:00:00,Ameerpet,Saturday,6,0,Clear,620
2024-01-06 07:00:00,Hyderabad Central,Saturday,7,0,Rainy,470
2024-01-06 08:00:00,Hitec City,Saturday,8,1,Clear,390
2024-01-06 09:00:00,Tarnaka,Saturday,9,0,Clear,540
2024-01-06 10:00:00,Ameerpet,Saturday,10,0,Clear,560
2024-01-06 11:00:00,Secunderabad East,Saturday,11,0,Clear,590
2024-01-06 12:00:00,Hyderabad Central,Saturday,12,0,Clear,460
2024-01-06 13:00:00,Hyderabad Central,Saturday,13,0,Cloudy,540
2024-01-06 14:00:00,Dilsukhnagar,Saturday,14,0,Clear,580
2024-01-06 15:00:00,Dilsukhnagar,Saturday,15,0,Clear,550
2024-01-06 16:00:00,Miyapur,Saturday,16,0,Clear,460
2024-01-06 17:00:00,Hyderabad Central,Saturday,17,0,Clear,590
2024-01-06 18:00:00,Hitec City,Saturday,18,0,Clear,710
2024-01-06 19:00:00,LB Nagar,Saturday,19,1,Cloudy,320
2024-01-06 20:00:00,Dilsukhnagar,Saturday,20,0,Clear,700
2024-01-06 21:00:00,Tarnaka,Saturday,21,0,Rainy,480
2024-01-06 22:00:00,Tarnaka,Saturday,22,0,Clear,430
2024-01-06 23:00:00,Ameerpet,Saturday,23,0,Clear,450
2024-01-07 00:00:00,Secunderabad East,Sunday,0,0,Clear,530
2024-01-07 01:00:00,Miyapur,Sunday,1,0,Rainy,490
2024-01-07 02:00:00,LB Nagar,Sunday,2,0,Clear,520
2024-01-07 03:00:00,Hitec City,Sunday,3,0,Rainy,430
2024-01-07 04:00:00,Secunderabad East,Sunday,4,0,Clear,460
2024-01-07 05:00:00,Miyapur,Sunday,5,0,Cloudy,420
2024-01-07 06:00:00,Ameerpet,Sunday,6,0,Clear,520
2024-01-07 07:00:00,Ameerpet,Sunday,7,0,Clear,670
2024-01-07 08:00:00,Tarnaka,Sunday,8,0,Clear,650
2024-01-07 09:00:00,Kukatpally,Sunday,9,0,Clear,500
2024-01-07 10:00:00,Tarnaka,Sunday,10,0,Clear,530
2024-01-07 11:00:00,Secunderabad East,Sunday,11,0,Clear,570
2024-01-07 12:00:00,Hitec City,Sunday,12,0,Clear,590
2024-01-07 13:00:00,Hyderabad Central,Sunday,13,0,Clear,550
2024-01-07 14:00:00,Miyapur,Sunday,14,0,Clear,580
2024-01-07 15:00:00,Uppal,Sunday,15,0,Rainy,310
2024-01-07 16:00:00,LB Nagar,Sunday,16,0,Clear,480
2024-01-07 17:00:00,Kukatpally,Sunday,17,0,Cloudy,670
2024-01-07 18:00:00,LB Nagar,Sunday,18,1,Rainy,380
2024-01-07 19:00:00,Hitec City,Sunday,19,0,Clear,740
2024-01-07 20:00:00,Kukatpally,Sunday,20,0,Clear,560
2024-01-07 21:00:00,Kukatpally,Sunday,21,0,Clear,460
2024-01-07 22:00:00,Hyderabad Central,Sunday,22,0,Clear,520
2024-01-07 23:00:00,Miyapur,Sunday,23,0,Clear,470
2024-01-08 00:00:00,LB Nagar,Monday,0,0,Rainy,320
2024-01-08 01:00:00,Hyderabad Central,Monday,1,0,Rainy,430
2024-01-08 02:00:00,Ameerpet,Monday,2,0,Cloudy,470
2024-01-08 03:00:00,Tarnaka,Monday,3,0,Clear,400
2024-01-08 04:00:00,Hitec City,Monday,4,0,Cloudy,500
2024-01-08 05:00:00,LB Nagar,Monday,5,0,Clear,400
2024-01-08 06:00:00,Ameerpet,Monday,6,0,Rainy,480
2024-01-08 07:00:00,Tarnaka,Monday,7,0,Clear,550
2024-01-08 08:00:00,Secunderabad East,Monday,8,1,Clear,360
2024-01-08 09:00:00,Kukatpally,Monday,9,0,Clear,670
2024-01-08 10:00:00,Uppal,Monday,10,0,Clear,480
2024-01-08 11:00:00,Miyapur,Monday,11,0,Clear,520
2024-01-08 12:00:00,Kukatpally,Monday,12,0,Cloudy,490
2024-01-08 13:00:00,LB Nagar,Monday,13,0,Clear,490
2024-01-08 14:00:00,Uppal,Monday,14,0,Clear,420
2024-01-08 15:00:00,Miyapur,Monday,15,0,Clear,430
2024-01-08 16:00:00,Tarnaka,Monday,16,0,Clear,490
2024-01-08 17:00:00,LB Nagar,Monday,17,0,Clear,730
2024-01-08 18:00:00,Miyapur,Monday,18,0,Cloudy,720
2024-01-08 19:00:00,Hitec City,Monday,19,0,Clear,610
2024-01-08 20:00:00,Dilsukhnagar,Monday,20,0,Rainy,430
2024-01-08 21:00:00,Ameerpet,Monday,21,0,Clear,480
2024-01-08 22:00:00,Miyapur,Monday,22,0,Rainy,370
2024-01-08 23:00:00,Uppal,Monday,23,0,Clear,420
2024-01-09 00:00:00,Dilsukhnagar,Tuesday,0,0,Rainy,410
2024-01-09 01:00:00,LB Nagar,Tuesday,1,0,Clear,490
2024-01-09 02:00:00,Uppal,Tuesday,2,0,Clear,530
2024-01-09 03:00:00,LB Nagar,Tuesday,3,0,Clear,400
2024-01-09 04:00:00,Kukatpally,Tuesday,4,0,Clear,580
2024-01-09 05:00:00,Kukatpally,Tuesday,5,0,Rainy,430
2024-01-09 06:00:00,Miyapur,Tuesday,6,0,Clear,690
2024-01-09 07:00:00,Dilsukhnagar,Tuesday,7,0,Clear,550
2024-01-09 08:00:00,Hyderabad Central,Tuesday,8,0,Clear,650
2024-01-09 09:00:00,Hitec City,Tuesday,9,0,Rainy,410
2024-01-09 10:00:00,Hyderabad Central,Tuesday,10,0,Clear,480
2024-01-09 11:00:00,Uppal,Tuesday,11,0,Clear,470
2024-01-09 12:00:00,Hyderabad Central,Tuesday,12,0,Clear,450
2024-01-09 13:00:00,LB Nagar,Tuesday,13,0,Rainy,390
2024-01-09 14:00:00,Miyapur,Tuesday,14,0,Clear,460
2024-01-09 15:00:00,Hyderabad Central,Tuesday,15,0,Clear,500
2024-01-09 16:00:00,Secunderabad East,Tuesday,16,0,Cloudy,440
2024-01-09 17:00:00,Dilsukhnagar,Tuesday,17,0,Clear,680
2024-01-09 18:00:00,Uppal,Tuesday,18,0,Clear,630
2024-01-09 19:00:00,Uppal,Tuesday,19,0,Rainy,610
2024-01-09 20:00:00,Dilsukhnagar,Tuesday,20,0,Clear,740
2024-01-09 21:00:00,Secunderabad East,Tuesday,21,0,Clear,590
2024-01-09 22:00:00,Hitec City,Tuesday,22,0,Clear,590
2024-01-09 23:00:00,Kukatpally,Tuesday,23,0,Clear,450
2024-01-10 00:00:00,Secunderabad East,Wednesday,0,0,Clear,460
2024-01-10 01:00:00,Uppal,Wednesday,1,0,Clear,430
2024-01-10 02:00:00,Tarnaka,Wednesday,2,0,Clear,560
2024-01-10 03:00:00,Hyderabad Central,Wednesday,3,0,Clear,430
2024-01-10 04:00:00,Tarnaka,Wednesday,4,0,Clear,590
2024-01-10 05:00:00,Kukatpally,Wednesday,5,0,Rainy,430
2024-01-10 06:00:00,Kukatpally,Wednesday,6,0,Clear,670
2024-01-10 07:00:00,Hitec City,Wednesday,7,0,Clear,570
2024-01-10 08:00:00,Ameerpet,Wednesday,8,0,Clear,540
2024-01-10 09:00:00,Uppal,Wednesday,9,0,Clear,630
2024-01-10 10:00:00,LB Nagar,Wednesday,10,0,Rainy,380
2024-01-10 11:00:00,Tarnaka,Wednesday,11,0,Clear,590
2024-01-10 12:00:00,Tarnaka,Wednesday,12,0,Clear,420
2024-01-10 13:00:00,Hitec City,Wednesday,13,0,Clear,560
2024-01-10 14:00:00,Tarnaka,Wednesday,14,0,Rainy,470
2024-01-10 15:00:00,Hitec City,Wednesday,15,0,Clear,430
2024-01-10 16:00:00,Secunderabad East,Wednesday,16,0,Clear,480
2024-01-10 17:00:00,Secunderabad East,Wednesday,17,0,Rainy,520
2024-01-10 18:00:00,Hyderabad Central,Wednesday,18,0,Clear,630
2024-01-10 19:00:00,Dilsukhnagar,Wednesday,19,0,Clear,600
2024-01-10 20:00:00,Uppal,Wednesday,20,0,Clear,720
2024-01-10 21:00:00,Hitec City,Wednesday,21,0,Rainy,300
2024-01-10 22:00:00,Hitec City,Wednesday,22,0,Clear,430
2024-01-10 23:00:00,LB Nagar,Wednesday,23,0,Clear,450
2024-01-11 00:00:00,Miyapur,Thursday,0,0,Rainy,470
2024-01-11 01:00:00,Miyapur,Thursday,1,0,Clear,560
2024-01-11 02:00:00,Hyderabad Central,Thursday,2,0,Clear,550
2024-01-11 03:00:00,Tarnaka,Thursday,3,0,Cloudy,570
2024-01-11 04:00:00,Miyapur,Thursday,4,0,Clear,510
2024-01-11 05:00:00,Secunderabad East,Thursday,5,0,Rainy,490
2024-01-11 06:00:00,Uppal,Thursday,6,0,Cloudy,580
2024-01-11 07:00:00,Ameerpet,Thursday,7,0,Rainy,550
2024-01-11 08:00:00,Tarnaka,Thursday,8,0,Clear,540
2024-01-11 09:00:00,Kukatpally,Thursday,9,0,Clear,520
2024-01-11 10:00:00,Kukatpally,Thursday,10,0,Clear,410
2024-01-11 11:00:00,Secunderabad East,Thursday,11,1,Clear,290
2024-01-11 12:00:00,Tarnaka,Thursday,12,0,Clear,450
2024-01-11 13:00:00,Uppal,Thursday,13,0,Clear,520
2024-01-11 14:00:00,LB Nagar,Thursday,14,0,Clear,440
2024-01-11 15:00:00,LB Nagar,Thursday,15,0,Clear,460
2024-01-11 16:00:00,LB Nagar,Thursday,16,0,Clear,580
2024-01-11 17:00:00,Hitec City,Thursday,17,0,Rainy,470
2024-01-11 18:00:00,Miyapur,Thursday,18,0,Rainy,550
2024-01-11 19:00:00,LB Nagar,Thursday,19,0,Clear,610
2024-01-11 20:00:00,Secunderabad East,Thursday,20,0,Clear,710
2024-01-11 21:00:00,Ameerpet,Thursday,21,0,Clear,430
2024-01-11 22:00:00,Miyapur,Thursday,22,0,Clear,520
2024-01-11 23:00:00,LB Nagar,Thursday,23,0,Clear,460
2024-01-12 00:00:00,Uppal,Friday,0,0,Clear,490
2024-01-12 01:00:00,Miyapur,Friday,1,0,Rainy,310
2024-01-12 02:00:00,Secunderabad East,Friday,2,0,Clear,470
2024-01-12 03:00:00,Ameerpet,Friday,3,0,Rainy,360
2024-01-12 04:00:00,Hitec City,Friday,4,1,Clear,370
2024-01-12 05:00:00,LB Nagar,Friday,5,0,Clear,480
2024-01-12 06:00:00,Dilsukhnagar,Friday,6,0,Clear,670
2024-01-12 07:00:00,Miyapur,Friday,7,0,Clear,540
2024-01-12 08:00:00,LB Nagar,Friday,8,0,Clear,640
2024-01-12 09:00:00,Secunderabad East,Friday,9,0,Rainy,380
2024-01-12 10:00:00,LB Nagar,Friday,10,0,Clear,550
2024-01-12 11:00:00,Dilsukhnagar,Friday,11,0,Clear,520
2024-01-12 12:00:00,Ameerpet,Friday,12,0,Clear,550
2024-01-12 13:00:00,Miyapur,Friday,13,0,Clear,410
2024-01-12 14:00:00,Miyapur,Friday,14,0,Rainy,460
2024-01-12 15:00:00,Hyderabad Central,Friday,15,0,Clear,430
2024-01-12 16:00:00,Tarnaka,Friday,16,0,Clear,480
2024-01-12 17:00:00,LB Nagar,Friday,17,0,Clear,740
2024-01-12 18:00:00,LB Nagar,Friday,18,0,Clear,640
2024-01-12 19:00:00,Hyderabad Central,Friday,19,0,Clear,710
2024-01-12 20:00:00,Uppal,Friday,20,1,Rainy,250
2024-01-12 21:00:00,Secunderabad East,Friday,21,0,Clear,450
2024-01-12 22:00:00,Tarnaka,Friday,22,0,Cloudy,560
2024-01-12 23:00:00,Ameerpet,Friday,23,0,Clear,470
2024-01-13 00:00:00,Uppal,Saturday,0,0,Clear,560
2024-01-13 01:00:00,Hitec City,Saturday,1,1,Clear,280
2024-01-13 02:00:00,Miyapur,Saturday,2,0,Clear,580
2024-01-13 03:00:00,Uppal,Saturday,3,0,Cloudy,440
2024-01-13 04:00:00,Tarnaka,Saturday,4,0,Clear,400
2024-01-13 05:00:00,Uppal,Saturday,5,0,Clear,560
2024-01-13 06:00:00,Hitec City,Saturday,6,0,Clear,670
2024-01-13 07:00:00,Dilsukhnagar,Saturday,7,0,Rainy,430
2024-01-13 08:00:00,Ameerpet,Saturday,8,0,Clear,630
2024-01-13 09:00:00,Uppal,Saturday,9,0,Clear,500
2024-01-13 10:00:00,Miyapur,Saturday,10,0,Clear,560
2024-01-13 11:00:00,Secunderabad East,Saturday,11,0,Clear,400
2024-01-13 12:00:00,Secunderabad East,Saturday,12,0,Clear,510
2024-01-13 13:00:00,Tarnaka,Saturday,13,0,Clear,420
2024-01-13 14:00:00,Ameerpet,Saturday,14,0,Clear,520
2024-01-13 15:00:00,Miyapur,Saturday,15,0,Clear,430
2024-01-13 16:00:00,Dilsukhnagar,Saturday,16,0,Cloudy,480
2024-01-13 17:00:00,Kukatpally,Saturday,17,0,Cloudy,700
2024-01-13 18:00:00,Hitec City,Saturday,18,1,Clear,420
2024-01-13 19:00:00,Dilsukhnagar,Saturday,19,0,Clear,590
2024-01-13 20:00:00,Miyapur,Saturday,20,1,Clear,480
2024-01-13 21:00:00,Tarnaka,Saturday,21,0,Clear,540
2024-01-13 22:00:00,Ameerpet,Saturday,22,0,Clear,490
2024-01-13 23:00:00,Tarnaka,Saturday,23,0,Clear,510
2024-01-14 00:00:00,LB Nagar,Sunday,0,0,Clear,450
2024-01-14 01:00:00,Hyderabad Central,Sunday,1,0,Clear,580
2024-01-14 02:00:00,Miyapur,Sunday,2,0,Clear,530
2024-01-14 03:00:00,Ameerpet,Sunday,3,0,Rainy,430
2024-01-14 04:00:00,Hyderabad Central,Sunday,4,0,Clear,460
2024-01-14 05:00:00,Dilsukhnagar,Sunday,5,1,Clear,290
2024-01-14 06:00:00,Tarnaka,Sunday,6,0,Clear,640
2024-01-14 07:00:00,Hyderabad Central,Sunday,7,1,Clear,400
2024-01-14 08:00:00,Secunderabad East,Sunday,8,0,Rainy,550
2024-01-14 09:00:00,LB Nagar,Sunday,9,0,Clear,580
2024-01-14 10:00:00,Ameerpet,Sunday,10,0,Clear,550
2024-01-14 11:00:00,Tarnaka,Sunday,11,0,Rainy,310
2024-01-14 12:00:00,Hitec City,Sunday,12,0,Rainy,440
2024-01-14 13:00:00,LB Nagar,Sunday,13,0,Clear,520
2024-01-14 14:00:00,Kukatpally,Sunday,14,0,Clear,400
2024-01-14 15:00:00,Hyderabad Central,Sunday,15,0,Clear,410
2024-01-14 16:00:00,Miyapur,Sunday,16,0,Clear,550
2024-01-14 17:00:00,Uppal,Sunday,17,0,Clear,580
2024-01-14 18:00:00,Uppal,Sunday,18,0,Clear,740
2024-01-14 19:00:00,Secunderabad East,Sunday,19,0,Clear,550
2024-01-14 20:00:00,Hitec City,Sunday,20,0,Clear,600
2024-01-14 21:00:00,Dilsukhnagar,Sunday,21,0,Clear,550
2024-01-14 22:00:00,LB Nagar,Sunday,22,0,Rainy,450
2024-01-14 23:00:00,Uppal,Sunday,23,1,Clear,250
2024-01-15 00:00:00,Uppal,Monday,0,0,Clear,540
2024-01-15 01:00:00,LB Nagar,Monday,1,0,Clear,460
2024-01-15 02:00:00,Tarnaka,Monday,2,0,Cloudy,460
2024-01-15 03:00:00,LB Nagar,Monday,3,0,Clear,510
2024-01-15 04:00:00,Dilsukhnagar,Monday,4,0,Clear,400
2024-01-15 05:00:00,Tarnaka,Monday,5,0,Cloudy,410
2024-01-15 06:00:00,Kukatpally,Monday,6,0,Clear,660
2024-01-15 07:00:00,Uppal,Monday,7,0,Rainy,540
2024-01-15 08:00:00,Hyderabad Central,Monday,8,0,Clear,570
2024-01-15 09:00:00,Kukatpally,Monday,9,0,Clear,530
2024-01-15 10:00:00,Kukatpally,Monday,10,0,Clear,520
2024-01-15 11:00:00,Secunderabad East,Monday,11,0,Cloudy,520
2024-01-15 12:00:00,Hyderabad Central,Monday,12,0,Clear,500
2024-01-15 13:00:00,Miyapur,Monday,13,0,Clear,510
2024-01-15 14:00:00,Kukatpally,Monday,14,0,Cloudy,530
2024-01-15 15:00:00,Dilsukhnagar,Monday,15,0,Clear,400
2024-01-15 16:00:00,Hyderabad Central,Monday,16,0,Clear,480
2024-01-15 17:00:00,Hyderabad Central,Monday,17,0,Clear,570
2024-01-15 18:00:00,Ameerpet,Monday,18,0,Clear,610
2024-01-15 19:00:00,Uppal,Monday,19,0,Rainy,560
2024-01-15 20:00:00,Secunderabad East,Monday,20,0,Rainy,480
2024-01-15 21:00:00,LB Nagar,Monday,21,0,Clear,500
2024-01-15 22:00:00,Ameerpet,Monday,22,0,Clear,550
2024-01-15 23:00:00,Hyderabad Central,Monday,23,0,Rainy,410
2024-01-16 00:00:00,Tarnaka,Tuesday,0,0,Clear,590
2024-01-16 01:00:00,Miyapur,Tuesday,1,1,Clear,270
2024-01-16 02:00:00,Uppal,Tuesday,2,0,Clear,520
2024-01-16 03:00:00,Miyapur,Tuesday,3,0,Rainy,310
2024-01-16 04:00:00,Kukatpally,Tuesday,4,0,Clear,470
2024-01-16 05:00:00,Dilsukhnagar,Tuesday,5,0,Rainy,440
2024-01-16 06:00:00,Uppal,Tuesday,6,0,Clear,610
2024-01-16 07:00:00,Miyapur,Tuesday,7,0,Clear,540
2024-01-16 08:00:00,LB Nagar,Tuesday,8,0,Clear,510
2024-01-16 09:00:00,LB Nagar,Tuesday,9,0,Clear,610
2024-01-16 10:00:00,Uppal,Tuesday,10,0,Rainy,350
2024-01-16 11:00:00,Ameerpet,Tuesday,11,0,Clear,470
2024-01-16 12:00:00,Ameerpet,Tuesday,12,0,Clear,430
2024-01-16 13:00:00,Hyderabad Central,Tuesday,13,0,Clear,490
2024-01-16 14:00:00,Dilsukhnagar,Tuesday,14,0,Cloudy,550
2024-01-16 15:00:00,Kukatpally,Tuesday,15,0,Rainy,370
2024-01-16 16:00:00,LB Nagar,Tuesday,16,0,Clear,550
2024-01-16 17:00:00,Tarnaka,Tuesday,17,0,Clear,610
2024-01-16 18:00:00,Hyderabad Central,Tuesday,18,1,Clear,400
2024-01-16 19:00:00,Hyderabad Central,Tuesday,19,1,Rainy,270
2024-01-16 20:00:00,Kukatpally,Tuesday,20,0,Clear,710
2024-01-16 21:00:00,Miyapur,Tuesday,21,0,Clear,540
2024-01-16 22:00:00,Kukatpally,Tuesday,22,0,Clear,530
2024-01-16 23:00:00,Miyapur,Tuesday,23,0,Clear,440
2024-01-17 00:00:00,Kukatpally,Wednesday,0,0,Clear,410
2024-01-17 01:00:00,Ameerpet,Wednesday,1,0,Clear,440
2024-01-17 02:00:00,Dilsukhnagar,Wednesday,2,0,Clear,440
2024-01-17 03:00:00,Miyapur,Wednesday,3,0,Clear,450
2024-01-17 04:00:00,Miyapur,Wednesday,4,1,Clear,330
2024-01-17 05:00:00,LB Nagar,Wednesday,5,0,Clear,450
2024-01-17 06:00:00,Kukatpally,Wednesday,6,0,Clear,620
2024-01-17 07:00:00,LB Nagar,Wednesday,7,0,Clear,560
